case_id,reference,model,withheld,flattened,failed,derived_unset,derived_unstructured,derived_approvable,claimed_ready,false_ready,overclaimed,overclaimed_compilable,overclaimed_approvable,underclaimed,shape_blind,fabricated,agrees_exactly,overclaimed_fields,underclaimed_fields,fabricated_fields
bidmc_respiration/full,bidmc_respiration,cohere:command-a-plus-05-2026,,,False,0,0,True,False,False,0,0,0,6,0,0,False,,claim_limits;measurements;object_definition;preprocessing_steps;provenance;validations,
bidmc_respiration/withhold/title,bidmc_respiration,cohere:command-a-plus-05-2026,title,,False,1,0,False,False,False,1,0,1,5,0,0,False,title,claim_limits;measurements;object_definition;preprocessing_steps;validations,
bidmc_respiration/withhold/research_question,bidmc_respiration,cohere:command-a-plus-05-2026,research_question,,False,1,0,False,False,False,1,0,1,2,0,0,False,research_question,object_definition;validations,
bidmc_respiration/withhold/data_source,bidmc_respiration,cohere:command-a-plus-05-2026,data_source,,False,1,0,False,True,True,1,0,1,0,0,0,False,data_source,,
bidmc_respiration/withhold/observation_schema,bidmc_respiration,cohere:command-a-plus-05-2026,observation_schema,,False,0,1,False,True,True,1,1,0,2,1,1,False,observation_schema,object_definition;validations,observation_schema
bidmc_respiration/withhold/grouping_and_order,bidmc_respiration,cohere:command-a-plus-05-2026,grouping_and_order,,False,0,0,True,False,False,0,0,0,1,0,1,False,,validations,grouping_and_order
bidmc_respiration/withhold/time_semantics,bidmc_respiration,cohere:command-a-plus-05-2026,time_semantics,,False,1,0,False,False,False,1,0,1,6,0,0,False,time_semantics,claim_limits;measurements;object_definition;preprocessing_steps;provenance;validations,
bidmc_respiration/withhold/states_or_labels,bidmc_respiration,cohere:command-a-plus-05-2026,states_or_labels,,False,1,0,False,False,False,1,1,0,5,0,0,False,states_or_labels,claim_limits;measurements;preprocessing_steps;provenance;validations,
bidmc_respiration/withhold/preprocessing_steps,bidmc_respiration,cohere:command-a-plus-05-2026,preprocessing_steps,,False,1,0,False,True,True,1,0,1,0,0,0,False,preprocessing_steps,,
bidmc_respiration/withhold/operator_parameters,bidmc_respiration,cohere:command-a-plus-05-2026,operator_parameters,,False,1,0,False,True,True,1,1,0,0,0,0,False,operator_parameters,,
bidmc_respiration/withhold/boundary_rules,bidmc_respiration,cohere:command-a-plus-05-2026,boundary_rules,,False,1,0,False,True,True,1,1,0,0,0,0,False,boundary_rules,,
bidmc_respiration/withhold/completeness_rules,bidmc_respiration,cohere:command-a-plus-05-2026,completeness_rules,,False,0,0,True,False,False,0,0,0,1,0,1,False,,completeness_rules,completeness_rules
bidmc_respiration/withhold/object_definition,bidmc_respiration,cohere:command-a-plus-05-2026,object_definition,,False,1,0,False,True,True,1,0,1,0,0,0,False,object_definition,,
bidmc_respiration/withhold/measurements,bidmc_respiration,cohere:command-a-plus-05-2026,measurements,,False,1,0,False,True,True,1,0,1,0,0,0,False,measurements,,
bidmc_respiration/withhold/validations,bidmc_respiration,cohere:command-a-plus-05-2026,validations,,True,0,0,,,,0,0,0,0,0,0,,,,
bidmc_respiration/withhold/provenance,bidmc_respiration,cohere:command-a-plus-05-2026,provenance,,False,1,0,False,True,True,1,0,1,0,0,0,False,provenance,,
bidmc_respiration/withhold/exclusions,bidmc_respiration,cohere:command-a-plus-05-2026,exclusions,,False,0,0,True,False,False,0,0,0,5,0,1,False,,exclusions;measurements;object_definition;preprocessing_steps;validations,exclusions
bidmc_respiration/withhold/claim_limits,bidmc_respiration,cohere:command-a-plus-05-2026,claim_limits,,False,1,0,False,True,True,1,0,1,0,0,0,False,claim_limits,,
bidmc_respiration/flatten/states_or_labels,bidmc_respiration,cohere:command-a-plus-05-2026,,states_or_labels,False,0,0,True,False,False,0,0,0,1,0,0,False,,object_definition,
physionet_wearable/full,physionet_wearable,cohere:command-a-plus-05-2026,,,False,1,0,False,False,False,1,1,0,3,0,0,False,operator_parameters,object_definition;preprocessing_steps;time_semantics,
physionet_wearable/withhold/title,physionet_wearable,cohere:command-a-plus-05-2026,title,,False,2,0,False,False,False,1,1,0,2,0,0,False,operator_parameters,object_definition;time_semantics,
physionet_wearable/withhold/research_question,physionet_wearable,cohere:command-a-plus-05-2026,research_question,,False,2,0,False,False,False,0,0,0,6,0,0,False,,claim_limits;measurements;object_definition;preprocessing_steps;provenance;validations,
physionet_wearable/withhold/data_source,physionet_wearable,cohere:command-a-plus-05-2026,data_source,,False,1,0,False,False,False,1,1,0,2,0,1,False,operator_parameters,object_definition;time_semantics,data_source
physionet_wearable/withhold/observation_schema,physionet_wearable,cohere:command-a-plus-05-2026,observation_schema,,False,1,0,False,False,False,1,1,0,6,0,1,False,operator_parameters,claim_limits;object_definition;preprocessing_steps;provenance;time_semantics;validations,observation_schema
physionet_wearable/withhold/grouping_and_order,physionet_wearable,cohere:command-a-plus-05-2026,grouping_and_order,,False,2,0,False,False,False,2,2,0,6,0,0,False,grouping_and_order;operator_parameters,claim_limits;object_definition;preprocessing_steps;provenance;time_semantics;validations,
physionet_wearable/withhold/time_semantics,physionet_wearable,cohere:command-a-plus-05-2026,time_semantics,,False,2,0,False,False,False,2,1,1,1,0,0,False,operator_parameters;time_semantics,object_definition,
physionet_wearable/withhold/states_or_labels,physionet_wearable,cohere:command-a-plus-05-2026,states_or_labels,,False,1,0,False,False,False,1,1,0,2,0,1,False,operator_parameters,object_definition;time_semantics,states_or_labels
physionet_wearable/withhold/preprocessing_steps,physionet_wearable,cohere:command-a-plus-05-2026,preprocessing_steps,,False,2,0,False,False,False,2,1,1,1,0,0,False,operator_parameters;preprocessing_steps,time_semantics,
physionet_wearable/withhold/operator_parameters,physionet_wearable,cohere:command-a-plus-05-2026,operator_parameters,,False,1,0,False,False,False,1,1,0,4,0,0,False,operator_parameters,claim_limits;object_definition;time_semantics;validations,
physionet_wearable/withhold/boundary_rules,physionet_wearable,cohere:command-a-plus-05-2026,boundary_rules,,False,2,0,False,False,False,2,2,0,2,0,0,False,boundary_rules;operator_parameters,object_definition;time_semantics,
physionet_wearable/withhold/completeness_rules,physionet_wearable,cohere:command-a-plus-05-2026,completeness_rules,,False,2,0,False,False,False,2,2,0,6,0,0,False,completeness_rules;operator_parameters,claim_limits;object_definition;preprocessing_steps;provenance;time_semantics;validations,
physionet_wearable/withhold/object_definition,physionet_wearable,cohere:command-a-plus-05-2026,object_definition,,False,2,0,False,True,True,2,1,1,0,0,0,False,object_definition;operator_parameters,,
physionet_wearable/withhold/measurements,physionet_wearable,cohere:command-a-plus-05-2026,measurements,,False,2,0,False,False,False,2,1,1,5,0,0,False,measurements;operator_parameters,claim_limits;object_definition;provenance;time_semantics;validations,
physionet_wearable/withhold/validations,physionet_wearable,cohere:command-a-plus-05-2026,validations,,False,2,0,False,False,False,2,1,1,2,0,0,False,operator_parameters;validations,object_definition;time_semantics,
