fault_number,simulation_run,oscillation_id,is_complete,start_index,peak_index,end_index,rise_duration,fall_duration,duration,period,amplitude,rising_mean_rate,falling_mean_rate,peak_rise_rate,peak_fall_rate,temporal_symmetry,raw_mean,raw_std,raw_min,raw_max,raw_range,raw_start,raw_end,raw_delta,raw_abs_delta,dataset,condition,post_injection,transient_response,regime
0,1,1,True,28.0,42.0,65.0,14.0,23.0,37.0,,0.6027928026267091,0.0861132575181013,0.05241676544580079,0.07732169359483124,0.09465919741924153,0.7567567567567568,2800.2010424052364,0.8664627178031387,2798.6737755791873,2802.717259033399,4.043483454211582,2801.19495051488,2800.730906499515,-0.4640440153648342,0.4640440153648342,faultfree_training,fault_free,0,0,fault_free
0,1,2,True,65.0,79.0,82.0,14.0,3.0,17.0,37.0,0.16403360056006022,0.02343337150858003,0.10935573370670681,0.044501140091233536,0.0023625338961664965,0.3529411764705882,2800.169316397618,0.4902642948675393,2799.279371119988,2800.985304457353,1.7059333373649679,2800.730906499515,2800.561284628954,-0.16962187056105904,0.16962187056105904,faultfree_training,fault_free,0,0,fault_free
0,1,3,True,82.0,85.0,113.0,3.0,28.0,31.0,6.0,0.3391542318149732,0.22610282120998212,0.024225302272498084,0.006543315785484083,0.046928953061205904,0.19354838709677424,2799.6281983432514,0.5531553727127213,2798.618561535615,2800.8754229700303,2.256861434415441,2800.561284628954,2799.7782010907626,-0.7830835381914767,0.7830835381914767,faultfree_training,fault_free,0,0,fault_free
0,1,4,True,113.0,116.0,121.0,3.0,5.0,8.0,31.0,0.05852895388034085,0.0390193025868939,0.02341158155213634,0.005000458534095742,0.00797424076858988,0.75,2799.585712445837,0.26490858009020674,2799.2452449099674,2800.160827699696,0.9155827897284325,2799.7782010907626,2800.160827699696,0.38262660893315115,0.38262660893315115,faultfree_training,fault_free,0,0,fault_free
0,1,5,True,121.0,136.0,153.0,15.0,17.0,32.0,20.0,0.3488525105108238,0.04651366806810984,0.0410414718248028,0.05244633421843901,0.05544697250425088,0.9375,2799.817558671602,0.84711311734834,2798.0953609484504,2801.69672714333,3.6013661948795743,2800.160827699696,2801.2470323752204,1.086204675524641,1.086204675524641,faultfree_training,fault_free,0,0,fault_free
0,1,6,True,153.0,192.0,223.0,39.0,31.0,70.0,56.0,1.2371332515224367,0.06344273084730445,0.0798150484853185,0.09259777526945072,0.12060506010629979,0.8857142857142857,2800.343487463934,1.0932953027512875,2798.3091524343913,2802.8151430542443,4.505990619853037,2801.2470323752204,2799.766534018762,-1.480498356458611,1.480498356458611,faultfree_training,fault_free,0,0,fault_free
0,1,7,True,223.0,255.0,287.0,32.0,32.0,64.0,63.0,0.98901954166422,0.06181372135401375,0.06181372135401375,0.11631531649140925,0.09316382967294885,1.0,2800.277581398689,0.8881948418418215,2798.1488642737986,2801.9829858033145,3.834121529515869,2799.766534018762,2800.3154108774525,0.548876858690619,0.548876858690619,faultfree_training,fault_free,0,0,fault_free
0,1,8,True,287.0,313.0,333.0,26.0,20.0,46.0,58.0,0.408891535106477,0.03145319500819054,0.0408891535106477,0.045263766086736726,0.0574505099034468,0.8695652173913043,2799.7017308951094,0.6756791116166866,2798.2344757080523,2801.0775646798943,2.8430889718420076,2800.3154108774525,2800.736433224195,0.4210223467425749,0.4210223467425749,faultfree_training,fault_free,0,0,fault_free
0,1,9,True,333.0,365.0,415.0,32.0,50.0,82.0,52.0,1.0548995455606018,0.06593122159753761,0.042195981822424074,0.10099557110888782,0.09501894084410197,0.7804878048780488,2799.8648249993225,1.0000110626821495,2798.1534203775086,2802.504637993144,4.351217615635505,2800.736433224195,2798.6875363596596,-2.048896864535436,2.048896864535436,faultfree_training,fault_free,0,0,fault_free
0,1,10,True,415.0,416.0,418.0,1.0,2.0,3.0,51.0,0.02422620666425246,0.04845241332850492,0.02422620666425246,0.0008772884592872287,0.0032907015895943916,0.6666666666666667,2799.198107820017,0.337384909526343,2798.6875363596596,2799.518148480399,0.8306121207392607,2798.6875363596596,2799.518148480399,0.8306121207392607,0.8306121207392607,faultfree_training,fault_free,0,0,fault_free
