fault_number,simulation_run,oscillation_id,is_complete,start_index,peak_index,end_index,rise_duration,fall_duration,duration,period,amplitude,rising_mean_rate,falling_mean_rate,peak_rise_rate,peak_fall_rate,temporal_symmetry,raw_mean,raw_std,raw_min,raw_max,raw_range,raw_start,raw_end,raw_delta,raw_abs_delta,post_injection,early_response,regime
1,1,1,True,28.0,30.0,42.0,2.0,12.0,14.0,,0.13239973336408184,0.13239973336408184,0.022066622227346972,0.01962782163495831,0.028350150453843526,0.2857142857142857,2800.0887191455104,0.6448956574532234,2799.194091540746,2801.54747034136,2.353378800614337,2799.804589167829,2801.203852945794,1.3992637779651886,1.3992637779651886,0,0,pre_injection
1,1,2,True,42.0,43.0,44.0,1.0,1.0,2.0,13.0,0.015504196146139293,0.031008392292278586,0.031008392292278586,0.0012954002031619893,0.0006863256428005116,1.0,2800.5992100255667,0.6216212689150559,2799.744236136511,2801.203852945794,1.459616809283034,2801.203852945794,2799.744236136511,-1.459616809283034,1.459616809283034,0,0,pre_injection
1,1,3,True,44.0,75.0,104.0,31.0,29.0,60.0,32.0,1.3979937996650733,0.0901931483654886,0.09641336549414299,0.08806156921236834,0.1440469447302803,0.9666666666666667,2800.2331324420848,1.2852023895646456,2798.134454522129,2802.6990295839605,4.56457506183142,2799.744236136511,2799.851965822543,0.10772968603214395,0.10772968603214395,0,0,pre_injection
1,1,4,True,104.0,115.0,116.0,11.0,1.0,12.0,40.0,0.0634430635282115,0.011535102459674818,0.126886127056423,0.018340228714760088,0.003314995322671166,0.16666666666666663,2799.222908947285,0.4640040122317709,2798.544512255321,2799.961837836603,1.417325581282057,2799.851965822543,2798.9023319701805,-0.9496338523626946,0.9496338523626946,0,0,pre_injection
1,1,5,True,116.0,147.0,164.0,31.0,17.0,48.0,32.0,0.5516370588404698,0.03558948766712708,0.0648984775106435,0.07266819808451146,0.07095119400796648,0.7083333333333333,2799.7994207420193,0.6773243672355204,2798.310829131129,2800.940035378994,2.6292062478646585,2798.9023319701805,2800.3186641677285,1.4163321975479448,1.4163321975479448,0,0,pre_injection
1,1,6,True,164.0,204.0,207.0,40.0,3.0,43.0,57.0,0.40623220211341504,0.02031161010567075,0.27082146807561003,0.03178555398430945,0.01311389987936309,0.13953488372093026,2800.1948453752125,0.5758325172578637,2799.0498214851204,2801.346352566501,2.2965310813806354,2800.3186641677285,2800.7080487195467,0.38938455181823883,0.38938455181823883,0,0,pre_injection
1,1,7,True,207.0,234.0,275.0,27.0,41.0,68.0,30.0,1.0608677909351627,0.07858279932853057,0.05174964833830062,0.04942457136899066,0.08617349273035871,0.7941176470588236,2800.0240201487063,0.9606344395397938,2798.2755341110224,2801.970233737596,3.6946996265737653,2800.7080487195467,2799.9684206768898,-0.7396280426569319,0.7396280426569319,0,0,pre_injection
1,1,8,True,275.0,305.0,346.0,30.0,41.0,71.0,71.0,1.3323287037408136,0.0888219135827209,0.06499164408491774,0.12105179678160312,0.11474408076892359,0.8450704225352113,2799.991185117994,1.1665859419464186,2797.8154171175343,2802.0830477427885,4.267630625254242,2799.9684206768898,2799.83743711927,-0.13098355761985658,0.13098355761985658,0,0,pre_injection
1,1,9,True,346.0,381.0,420.0,35.0,39.0,74.0,76.0,1.0853067482921688,0.062017528473838214,0.05565675632267532,0.10826455838182483,0.06213146688783126,0.9459459459459459,2800.273719035816,0.7868668748966611,2798.565389552467,2802.1128891432927,3.547499590825737,2799.83743711927,2799.9431882850504,0.10575116578047528,0.10575116578047528,0,0,pre_injection
1,1,10,True,420.0,428.0,448.0,8.0,20.0,28.0,47.0,0.5106816991319647,0.12767042478299118,0.05106816991319647,0.023020996835703043,0.0740997699091622,0.5714285714285714,2799.1201484638773,0.7217379033474562,2797.805100230978,2800.3920121897954,2.5869119588173817,2799.9431882850504,2800.3159112084495,0.37272292339912383,0.37272292339912383,0,0,pre_injection
