subject,featuregraph_object_id,llm_object_id,featuregraph_start_index,llm_start_index,delta_start_index,featuregraph_peak_index,llm_peak_index,delta_peak_index,featuregraph_end_index,llm_end_index,delta_end_index,featuregraph_period_seconds,llm_period_seconds,delta_period_seconds,featuregraph_full_excursion,llm_full_excursion,delta_full_excursion,featuregraph_temporal_symmetry,llm_temporal_symmetry,delta_temporal_symmetry
1,1,1,99.0,60,39.0,190.0,181,9.0,385.0,335,50.0,,,,0.98045,0.981427,-0.0009770000000000056,0.6363636363636364,0.88,-0.24363636363636365
1,2,2,385.0,335,50.0,478.0,462,16.0,662.0,615,47.0,2.304,2.248,0.055999999999999606,0.9980450000000001,0.98045,0.017595000000000027,0.6714801444043321,0.9071428571428571,-0.23566271273852502
1,3,3,662.0,615,47.0,752.0,738,14.0,952.0,900,52.0,2.192,2.208,-0.016000000000000014,0.9638320000000001,0.998045,-0.03421299999999983,0.6206896551724138,0.8631578947368421,-0.2424682395644283
1,4,4,952.0,900,52.0,1046.0,1031,15.0,1242.0,1194,48.0,2.352,2.344,0.008000000000000007,0.9902248000000001,0.963832,0.026392800000000105,0.6482758620689655,0.891156462585034,-0.24288060051606852
1,5,5,1242.0,1194,48.0,1330.0,1321,9.0,1537.0,1488,49.0,2.272,2.32,-0.04800000000000004,0.964809,0.9902248,-0.02541579999999999,0.5966101694915253,0.8639455782312925,-0.26733540873976713
1,6,6,1537.0,1488,49.0,1630.0,1643,-13.0,1976.0,1917,59.0,2.4,2.576,-0.17600000000000016,1.0,1.0,0.0,0.42369020501138954,0.7226107226107226,-0.298920517599333
1,7,7,1976.0,1917,59.0,2076.0,2052,24.0,2260.0,2205,55.0,3.568,3.272,0.29600000000000026,0.9384160000000001,1.0,-0.06158399999999986,0.704225352112676,0.9375,-0.233274647887324
1,8,8,2260.0,2205,55.0,2356.0,2343,13.0,2548.0,2497,51.0,2.24,2.328,-0.08799999999999963,0.936461,0.938416,-0.00195500000000004,0.6666666666666667,0.9452054794520548,-0.27853881278538806
1,9,9,2548.0,2497,51.0,2641.0,2624,17.0,2829.0,2784,45.0,2.28,2.248,0.031999999999999584,0.9042030000000002,0.936461,-0.03225799999999979,0.6619217081850534,0.8850174216027875,-0.22309571341773415
1,10,10,2829.0,2784,45.0,2920.0,2905,15.0,3124.0,3076,48.0,2.232,2.248,-0.016000000000000014,0.9345060000000001,0.911046,0.023460000000000036,0.6169491525423729,0.8287671232876712,-0.2118179707452983
1,11,11,3124.0,3076,48.0,3228.0,3209,19.0,3431.0,3384,47.0,2.464,2.432,0.03200000000000003,0.926686,0.9345060000000001,-0.00782000000000005,0.6775244299674268,0.8636363636363636,-0.18611193366893686
1,12,12,3431.0,3384,47.0,3532.0,3511,21.0,3754.0,3708,46.0,2.432,2.416,0.016000000000000014,0.907136,0.926686,-0.019549999999999956,0.6253869969040248,0.7839506172839507,-0.15856362037992588
1,13,13,3754.0,3708,46.0,3861.0,3840,21.0,4090.0,4044,46.0,2.632,2.632,0.0,0.88954,0.9071359999999999,-0.017595999999999945,0.6369047619047619,0.7857142857142857,-0.14880952380952384
1,14,14,4090.0,4044,46.0,4195.0,4178,17.0,4423.0,4377,46.0,2.672,2.704,-0.03200000000000003,0.89932,0.89345,0.005870000000000042,0.6306306306306306,0.8048048048048049,-0.17417417417417425
1,15,15,4423.0,4377,46.0,4526.0,4510,16.0,4791.0,4730,61.0,2.648,2.656,-0.008000000000000007,0.81525,0.82894,-0.01368999999999998,0.5597826086956521,0.7535410764872521,-0.1937584677916
1,16,16,4791.0,4730,61.0,4898.0,4870,28.0,5137.0,5088,49.0,2.976,2.88,0.09600000000000009,0.8455499999999999,0.8308800000000001,0.01466999999999985,0.6184971098265897,0.782122905027933,-0.16362579520134335
1,17,17,5137.0,5088,49.0,5244.0,5222,22.0,5476.0,5426,50.0,2.768,2.816,-0.04800000000000004,0.83578,0.8357800000000001,-1.1102230246251565e-16,0.6312684365781711,0.7928994082840237,-0.1616309717058526
1,18,18,5476.0,5426,50.0,5571.0,5561,10.0,5849.0,5781,68.0,2.616,2.712,-0.09600000000000009,0.7067399999999999,0.70674,-1.1102230246251565e-16,0.5093833780160858,0.7605633802816901,-0.25118000226560433
1,19,19,5849.0,5781,68.0,5927.0,5920,7.0,6201.0,6148,53.0,2.848,2.872,-0.02400000000000002,0.65396,0.64027,0.01368999999999998,0.44318181818181823,0.7574931880108992,-0.3143113698290809
1,20,20,6201.0,6148,53.0,6305.0,6279,26.0,6543.0,6487,56.0,3.024,2.872,0.15200000000000014,0.7614800000000002,0.7839700000000001,-0.0224899999999999,0.6081871345029239,0.7728613569321534,-0.16467422242922947
1,21,21,6543.0,6487,56.0,6646.0,6629,17.0,6932.0,6762,170.0,2.728,2.8,-0.07199999999999962,0.7487799999999999,0.74878,-1.1102230246251565e-16,0.5295629820051414,0.9672727272727273,-0.4377097452675859
1,22,22,6932.0,6762,170.0,7041.0,7012,29.0,7343.0,7152,191.0,3.16,3.064,0.09600000000000009,0.7526900000000001,0.73802,0.014670000000000072,0.5304136253041363,0.717948717948718,-0.18753509264458168
