field,tier,cases,outstanding,outstanding_and_named,overclaimed,underclaimed,shape_blind,withheld,fabricated
title,approvable,53,2,0,2,1,0,3,1
research_question,approvable,53,2,0,2,0,0,3,1
data_source,approvable,53,1,0,1,0,0,3,2
observation_schema,compilable,53,2,1,1,1,1,3,3
grouping_and_order,compilable,53,1,0,1,1,0,3,2
time_semantics,approvable,53,3,0,3,14,0,3,0
states_or_labels,compilable,53,1,0,1,1,0,2,1
preprocessing_steps,approvable,53,2,0,2,14,0,3,1
operator_parameters,compilable,53,4,0,4,1,1,3,0
boundary_rules,compilable,53,3,1,2,0,0,3,0
completeness_rules,compilable,53,1,1,0,0,0,3,2
object_definition,approvable,53,2,0,2,21,0,3,1
measurements,approvable,53,3,0,3,8,0,3,0
validations,approvable,53,2,0,2,17,0,2,0
provenance,approvable,53,3,0,3,6,0,3,0
exclusions,approvable,53,1,0,1,1,0,3,2
claim_limits,approvable,53,2,0,2,10,0,2,0
