featuregraph_object_id,start_index,peak_index,end_index,has_start,raw_minimum,raw_maximum,transition_complete,start_trough_start_index,start_trough_end_index,peak_start_index,peak_end_index,end_trough_start_index,end_trough_end_index,plateau_boundary_ambiguous,plateau_invalidated_complete,is_complete,period_seconds,temporal_symmetry,full_excursion,subject,peak_detection_index,peak_detection_latency_samples,object_id,window_samples
139,57406,57607.0,57809,True,-0.2176,0.36186,True,57406,57407,57606.0,57609.0,57808,57810,False,False,True,3.32,0.9975186104218362,0.57946,18,57694.0,87.0,bidmc-18-w085-0139,85
140,57809,58027.0,58239,True,-0.20538,0.38631,True,57808,57810,58026.0,58028.0,58239,58240,False,False,True,3.36,0.986046511627907,0.59169,18,58113.0,86.0,bidmc-18-w085-0140,85
141,58239,58443.0,58657,True,-0.1956,0.37408,True,58239,58240,58441.0,58446.0,58657,58658,False,False,True,3.328,0.9760765550239234,0.56968,18,58531.0,88.0,bidmc-18-w085-0141,85
142,58657,58861.0,59072,True,-0.20049,0.38631,True,58657,58658,58860.0,58863.0,59072,59073,False,False,True,3.344,0.983132530120482,0.5868,18,58948.0,87.0,bidmc-18-w085-0142,85
143,59072,59278.0,59493,True,-0.20049,0.38386,True,59072,59073,59276.0,59280.0,59493,59493,False,False,True,3.336,0.9786223277909739,0.5843499999999999,18,59365.0,87.0,bidmc-18-w085-0143,85
144,59493,59693.0,59896,True,-0.20538,0.36186,True,59493,59493,59690.0,59696.0,59895,59897,False,False,True,3.32,0.9925558312655087,0.56724,18,59781.0,88.0,bidmc-18-w085-0144,85
1,83,110.0,123,True,0.18696,0.23001,True,83,83,109.0,112.0,123,124,False,False,True,,0.65,0.043050000000000005,19,197.0,87.0,bidmc-19-w085-0001,85
2,123,305.0,420,True,0.15498,0.33579,True,123,124,305.0,305.0,420,421,False,False,True,1.56,0.7744107744107744,0.18080999999999997,19,390.0,85.0,bidmc-19-w085-0002,85
3,420,515.0,566,True,0.14637,0.2337,True,420,421,515.0,515.0,532,600,False,False,True,1.68,0.6986301369863014,0.08732999999999999,19,600.0,85.0,bidmc-19-w085-0003,85
4,566,766.0,887,True,0.14514,0.29766,True,532,600,765.0,768.0,887,888,False,False,True,2.008,0.7538940809968847,0.15252,19,853.0,87.0,bidmc-19-w085-0004,85
5,887,1013.0,1029,True,0.1599,0.28167,True,887,888,1012.0,1015.0,1029,1029,False,False,True,1.976,0.22535211267605637,0.12176999999999999,19,1100.0,87.0,bidmc-19-w085-0005,85
6,1029,1226.0,1417,True,0.20418,0.40713,True,1029,1029,1225.0,1227.0,1417,1418,False,False,True,1.704,0.9845360824742269,0.20295,19,1312.0,86.0,bidmc-19-w085-0006,85
7,1417,1425.0,1516,True,0.17097,0.246,True,1417,1418,1425.0,1425.0,1516,1516,False,False,True,1.592,0.16161616161616166,0.07502999999999999,19,1510.0,85.0,bidmc-19-w085-0007,85
8,1516,1526.0,1536,True,0.21525,0.2337,True,1516,1516,1525.0,1527.0,1536,1537,False,False,True,0.808,1.0,0.018449999999999994,19,1612.0,86.0,bidmc-19-w085-0008,85
9,1536,1713.0,1833,True,0.15621,0.31857,True,1536,1537,1711.0,1715.0,1833,1833,False,False,True,1.496,0.8080808080808081,0.16236000000000003,19,1800.0,87.0,bidmc-19-w085-0009,85
10,1833,1932.0,2022,True,0.14637,0.23616,True,1833,1833,1931.0,1933.0,2022,2022,False,False,True,1.752,0.9523809523809523,0.08979000000000001,19,2018.0,86.0,bidmc-19-w085-0010,85
11,2022,2138.0,2332,True,0.15252,0.29151,True,2022,2022,2137.0,2140.0,2332,2332,False,False,True,1.648,0.7483870967741936,0.13899,19,2225.0,87.0,bidmc-19-w085-0011,85
12,2332,2337.0,2338,True,0.19188,0.19803,True,2332,2332,2337.0,2337.0,2338,2339,False,False,True,1.592,0.33333333333333337,0.0061500000000000166,19,2422.0,85.0,bidmc-19-w085-0012,85
13,2338,2436.0,2442,True,0.1353,0.2214,True,2338,2339,2435.0,2437.0,2442,2443,False,False,True,0.792,0.11538461538461542,0.08610000000000001,19,2522.0,86.0,bidmc-19-w085-0013,85
14,2442,2640.0,2766,True,0.11562,0.34071,True,2442,2443,2640.0,2641.0,2766,2767,False,False,True,1.632,0.7777777777777778,0.22509,19,2726.0,86.0,bidmc-19-w085-0014,85
15,2766,3116.0,3251,True,0.11193,0.34194,True,2766,2767,3114.0,3119.0,3251,3251,False,False,True,3.808,0.5567010309278351,0.23001000000000002,19,3204.0,88.0,bidmc-19-w085-0015,85
17,3346,3587.0,3804,True,0.16359,0.35055,True,3345,3348,3587.0,3587.0,3804,3804,False,False,True,1.928,0.9475982532751092,0.18695999999999996,19,3672.0,85.0,bidmc-19-w085-0017,85
18,3804,3944.0,4063,True,0.13038,0.33825,True,3804,3804,3942.0,3946.0,4063,4064,False,False,True,2.856,0.9189189189189189,0.20787,19,4031.0,87.0,bidmc-19-w085-0018,85
20,4144,4247.0,4252,True,0.15744,0.24846,True,4143,4146,4247.0,4247.0,4252,4253,False,False,True,0.824,0.09259259259259256,0.09101999999999999,19,4332.0,85.0,bidmc-19-w085-0020,85
21,4252,4419.0,4563,True,0.16728,0.37269,True,4252,4253,4419.0,4419.0,4563,4564,False,False,True,1.376,0.9260450160771704,0.20541,19,4504.0,85.0,bidmc-19-w085-0021,85
22,4563,4873.0,5064,True,0.15129,0.37638,True,4563,4564,4871.0,4875.0,5064,5065,False,False,True,3.632,0.7624750499001995,0.22508999999999998,19,4960.0,87.0,bidmc-19-w085-0022,85
23,5064,5068.0,5073,True,0.26568,0.26937,True,5064,5065,5067.0,5069.0,5073,5074,False,False,True,1.56,0.8888888888888888,0.003689999999999971,19,5154.0,86.0,bidmc-19-w085-0023,85
24,5073,5168.0,5266,True,0.21279,0.28536,True,5073,5074,5167.0,5169.0,5266,5266,False,False,True,0.8,0.9844559585492227,0.07257,19,5254.0,86.0,bidmc-19-w085-0024,85
25,5266,5347.0,5473,True,0.11685,0.26199,True,5266,5266,5344.0,5351.0,5473,5473,False,False,True,1.432,0.782608695652174,0.14514,19,5436.0,89.0,bidmc-19-w085-0025,85
