featuregraph_object_id,start_index,peak_index,end_index,has_start,raw_minimum,raw_maximum,transition_complete,start_trough_start_index,start_trough_end_index,peak_start_index,peak_end_index,end_trough_start_index,end_trough_end_index,plateau_boundary_ambiguous,plateau_invalidated_complete,is_complete,period_seconds,temporal_symmetry,full_excursion,subject,peak_detection_index,peak_detection_latency_samples,object_id,window_samples
1,83,179.0,320,True,0.060606,1.0,True,83,83,156.0,202.0,320,320,False,False,True,,0.810126582278481,0.939394,1,287.0,108.0,bidmc-01-w085-0001,85
2,320,467.0,595,True,0.01955,1.0,True,320,320,446.0,488.0,595,595,False,False,True,2.304,0.9309090909090909,0.98045,1,573.0,106.0,bidmc-01-w085-0002,85
3,595,738.0,880,True,0.001955,1.0,True,595,595,718.0,758.0,880,880,False,False,True,2.168,0.9964912280701754,0.998045,1,843.0,105.0,bidmc-01-w085-0003,85
4,880,1036.0,1168,True,0.036168,1.0,True,880,880,1012.0,1060.0,1168,1168,False,False,True,2.384,0.9166666666666666,0.963832,1,1145.0,109.0,bidmc-01-w085-0004,85
5,1168,1320.0,1468,True,0.0097752,1.0,True,1168,1168,1294.0,1346.0,1468,1468,False,False,True,2.272,0.9866666666666667,0.9902248,1,1431.0,111.0,bidmc-01-w085-0005,85
6,1468,1649.0,1869,True,0.0,1.0,True,1468,1468,1596.0,1702.0,1861,1877,False,False,True,2.632,0.9027431421446384,1.0,1,1787.0,138.0,bidmc-01-w085-0006,85
7,1869,2059.0,2186,True,0.0,1.0,True,1861,1877,2046.0,2072.0,2186,2186,False,False,True,3.28,0.8012618296529969,1.0,1,2157.0,98.0,bidmc-01-w085-0007,85
8,2186,2345.0,2480,True,0.061584,1.0,True,2186,2186,2324.0,2366.0,2480,2480,False,False,True,2.288,0.9183673469387755,0.938416,1,2451.0,106.0,bidmc-01-w085-0008,85
9,2480,2628.0,2757,True,0.063539,1.0,True,2480,2480,2608.0,2648.0,2757,2757,False,False,True,2.264,0.9314079422382672,0.936461,1,2733.0,105.0,bidmc-01-w085-0009,85
10,2757,2907.0,3057,True,0.095797,1.0,True,2757,2757,2888.0,2926.0,3057,3057,False,False,True,2.232,1.0,0.904203,1,3011.0,104.0,bidmc-01-w085-0010,85
11,3057,3212.0,3362,True,0.065494,1.0,True,3057,3057,3196.0,3228.0,3362,3362,False,False,True,2.44,0.9836065573770492,0.9345060000000001,1,3313.0,101.0,bidmc-01-w085-0011,85
12,3362,3519.0,3680,True,0.073314,1.0,True,3362,3362,3504.0,3534.0,3680,3680,False,False,True,2.456,0.9874213836477987,0.926686,1,3619.0,100.0,bidmc-01-w085-0012,85
13,3680,3846.0,4020,True,0.092864,1.0,True,3680,3680,3832.0,3860.0,4020,4020,False,False,True,2.616,0.9764705882352941,0.9071359999999999,1,3945.0,99.0,bidmc-01-w085-0013,85
14,4020,4178.0,4353,True,0.11046,1.0,True,4020,4020,4170.0,4186.0,4353,4353,False,False,True,2.656,0.948948948948949,0.88954,1,4271.0,93.0,bidmc-01-w085-0014,85
15,4353,4506.0,4698,True,0.10068,0.92962,True,4353,4353,4506.0,4506.0,4698,4698,False,False,True,2.624,0.8869565217391304,0.82894,1,4591.0,85.0,bidmc-01-w085-0015,85
16,4698,4886.0,5059,True,0.11437,0.98631,True,4698,4698,4886.0,4886.0,5059,5059,False,False,True,3.04,0.9584487534626038,0.87194,1,4971.0,85.0,bidmc-01-w085-0016,85
17,5059,5228.0,5399,True,0.14076,0.96774,True,5059,5059,5228.0,5229.0,5399,5399,False,False,True,2.736,0.9941176470588236,0.82698,1,5314.0,86.0,bidmc-01-w085-0017,85
18,5399,5560.0,5753,True,0.13196,0.83675,True,5399,5399,5560.0,5560.0,5753,5753,False,False,True,2.656,0.9096045197740112,0.70479,1,5645.0,85.0,bidmc-01-w085-0018,85
19,5753,5931.0,6116,True,0.13001,0.79472,True,5753,5753,5930.0,5932.0,6116,6117,False,False,True,2.968,0.9807162534435262,0.66471,1,6017.0,86.0,bidmc-01-w085-0019,85
20,6116,6291.0,6456,True,0.14076,0.92473,True,6116,6117,6291.0,6292.0,6456,6456,False,False,True,2.88,0.9705882352941176,0.7839700000000001,1,6377.0,86.0,bidmc-01-w085-0020,85
