fault_number,simulation_run,regime,property,baseline_objects,regime_objects,baseline_median,regime_median,median_difference,median_ratio,direction,cliffs_delta
1,1,early_response,rise_duration,13,5,27.0,49.0,22.0,1.8148148148148149,increase,0.6
1,1,early_response,fall_duration,13,5,20.0,82.0,62.0,4.1,increase,0.8461538461538461
1,1,early_response,duration,13,5,43.0,165.0,122.0,3.8372093023255816,increase,0.7538461538461538
1,1,early_response,period,12,5,40.5,152.0,111.5,3.753086419753086,increase,0.8666666666666667
1,1,early_response,amplitude,13,5,0.5106816991319647,11.860252111034017,11.349570411902052,23.224353117007276,increase,0.7230769230769231
1,1,early_response,rising_mean_rate,13,5,0.0620175284738382,0.36589221096327,0.30387468248943184,5.89981929250244,increase,0.5384615384615384
1,1,early_response,falling_mean_rate,13,5,0.0556567563226753,0.1744154722210884,0.11875871589841311,3.133769981310054,increase,0.4153846153846154
1,1,early_response,peak_rise_rate,13,5,0.0494245713689906,0.0955093098384622,0.0460847384694716,1.932425657784977,increase,0.5692307692307692
1,1,early_response,peak_fall_rate,13,5,0.0604508190490378,0.3009773834541647,0.2405265644051269,4.978880157273161,increase,0.6923076923076923
1,1,early_response,temporal_symmetry,13,5,0.8450704225352113,0.5625,-0.28257042253521125,0.665625,decrease,-0.23076923076923078
1,1,post_response,rise_duration,13,38,27.0,23.5,-3.5,0.8703703703703703,decrease,-0.004048582995951417
1,1,post_response,fall_duration,13,38,20.0,22.5,2.5,1.125,increase,0.030364372469635626
1,1,post_response,duration,13,38,43.0,43.0,0.0,1.0,unchanged,0.010121457489878543
1,1,post_response,period,12,38,40.5,45.0,4.5,1.1111111111111112,increase,0.17105263157894737
1,1,post_response,amplitude,13,38,0.5106816991319647,0.6983360121358828,0.1876543130039181,1.3674584644855787,increase,0.15384615384615385
1,1,post_response,rising_mean_rate,13,38,0.0620175284738382,0.059382234159697594,-0.0026352943141406057,0.9575072664294855,decrease,0.048582995951417005
1,1,post_response,falling_mean_rate,13,38,0.0556567563226753,0.0664892579318273,0.010832501609152008,1.1946304873814342,increase,0.1659919028340081
