smooth_window,diff_lag,eps,f1_mean,f1_std,f1_ci95,precision_mean,recall_mean,interval_iou_mean,peak_mae,duration_mae,temporal_symmetry_mae
9,10,0.03,0.8892364672364673,0.07847191736662067,0.034391834145075975,0.862014652014652,0.9208333333333334,0.7873409245146308,7.668459595959595,2.7045707070707072,0.06116693553038405
9,10,0.01,0.8787678062678064,0.09571924837925191,0.04195081024171398,0.8529761904761906,0.9083333333333334,0.79386144828298,7.949318181818183,2.9823863636363637,0.05877626914878907
9,10,0.0,0.8772435897435897,0.07744317538257392,0.03394096809157921,0.8533424908424909,0.9041666666666666,0.7962266604101748,8.10060606060606,3.1467424242424245,0.05946324763129409
15,5,0.03,0.8627122507122508,0.09291940690623865,0.04072372561317735,0.82003663003663,0.9125,0.7648358820022189,7.8045202020202025,2.739671717171717,0.08295358647500176
15,5,0.01,0.7882821425062805,0.10196832752315622,0.04468958993117306,0.7379357897004957,0.85,0.7628578983095466,8.288358585858585,4.48280303030303,0.10488157889103425
5,10,0.01,0.7839655728083147,0.1064729434398204,0.04666382490200202,0.6956389370863054,0.9083333333333334,0.8188933515102995,6.075252525252525,4.766111111111111,0.10439590821908215
5,10,0.0,0.7739999093313887,0.10339470790157738,0.045314728694805684,0.6833439107761863,0.9,0.8211069437968209,6.1588383838383844,4.916338383838384,0.10583705349550258
5,10,0.03,0.772575643612351,0.08688861164680911,0.03808061305411765,0.6784991324465008,0.9041666666666666,0.8157728917269557,5.741010101010101,4.486565656565657,0.09883048578189507
15,5,0.0,0.7720911680911681,0.1192618474557306,0.05226880921451189,0.7384432234432234,0.8125,0.7746104903049623,8.535088383838383,4.067020202020202,0.08461022297150497
9,5,0.01,0.7252418378443128,0.12123732258478563,0.05313459936309163,0.6273384063476943,0.8708333333333333,0.8307427559752941,5.371224747474747,4.6783712121212115,0.09773561450065794
9,5,0.0,0.7188343671016085,0.1382088894736245,0.06057271650372477,0.6193758529052646,0.8666666666666666,0.8195690216771633,5.7002308802308805,6.661861471861473,0.13906773460458796
9,5,0.03,0.7051817956844375,0.10625856000429214,0.04656986721872417,0.606312412264677,0.85,0.8188964313143309,4.657777777777778,4.6282575757575755,0.11078139818104353
15,3,0.0,0.69715220195063,0.0901415213330914,0.0395062635820238,0.5919312876665818,0.8541666666666666,0.766043050209761,7.650959595959596,7.761414141414141,0.16676039728721212
15,3,0.01,0.6665471786284127,0.1400393985683025,0.061374972486474576,0.5637972538297615,0.825,0.7675715341387352,7.1819101731601735,6.349904401154401,0.14358489832287544
15,3,0.03,0.5869109096419998,0.12369804365041297,0.054213057920067684,0.49271397762883834,0.7333333333333333,0.7638716049383785,6.094343434343434,3.8379112554112553,0.13292170167353062
9,3,0.0,0.43388530396829206,0.13108118961518458,0.057448864308014075,0.32266691469168257,0.6791666666666667,0.7779212547114722,4.319105339105339,12.66926406926407,0.26136418072819667
9,3,0.01,0.4089255697880584,0.1375143071452232,0.060268302376478816,0.3061260758874476,0.6291666666666667,0.8015636008974891,4.004419191919192,9.751177849927851,0.19477738124765986
9,3,0.03,0.38953075460055564,0.13904513324760884,0.06093921649690521,0.2918874132835902,0.5958333333333333,0.8126558844652138,3.0861273448773447,6.328180014430014,0.1546440107876827
15,10,0.03,0.33333333333333337,0.11785113019775792,0.05165053511608352,0.33333333333333337,0.33333333333333337,0.727225145667326,9.756666666666666,2.154166666666667,0.07270148211102156
5,5,0.01,0.2991534994765127,0.07476120970947508,0.03276554481013871,0.20355872334959924,0.5708333333333333,0.7038731482087291,3.179722222222222,20.80327380952381,0.3879651857506893
5,5,0.0,0.29531071770000633,0.07447095806009608,0.032638336416094496,0.19988434547323616,0.5708333333333333,0.7031076035659577,3.361051587301587,21.129146825396823,0.4079195084155377
5,5,0.03,0.26264039736008515,0.09349376546479111,0.04097544935013225,0.17848663264874226,0.5083333333333333,0.7128916300667655,2.8726785714285716,19.041150793650793,0.3558412052320778
15,10,0.01,0.22866666666666666,0.12346081604871727,0.05410908833953565,0.2282051282051282,0.22916666666666666,0.738735285623474,9.767592592592592,2.0074074074074075,0.05691562031569545
15,10,0.0,0.17083333333333334,0.10974118941842559,0.04809619685637092,0.17083333333333334,0.17083333333333334,0.740158505521581,9.755882352941176,2.26078431372549,0.05542873848518631
5,3,0.01,0.127158486330559,0.05261568391417958,0.02305984019929056,0.07977107157280122,0.31666666666666665,0.6519043866352093,2.413333333333333,26.451666666666664,0.4606443911746748
5,3,0.03,0.12639180163914876,0.04371394537588187,0.019158481271336153,0.0788397644032688,0.32083333333333336,0.6500166096368113,1.9600000000000002,25.85,0.4641126694150648
5,3,0.0,0.11719753088181813,0.06272942018895335,0.027492380555402887,0.07351571082932393,0.29166666666666663,0.6565852452113724,2.7158333333333333,26.52583333333333,0.4580212828819962
15,1,0.0,0.10582817866864361,0.05629991437790161,0.02467452539257553,0.06696311685209201,0.25416666666666665,0.6431044753637939,6.636842105263158,25.294736842105266,0.5471497898769209
15,1,0.01,0.06198150254527386,0.04143687728266518,0.0181605121783538,0.03909769511826698,0.15,0.7773106865727453,4.888888888888889,6.555555555555555,0.1428443153120651
15,1,0.03,0.0532593971895472,0.045396032155944226,0.019895688306653694,0.0330768849334573,0.1375,0.6815494614704547,1.5,8.40625,0.3730688740955565
9,1,0.03,0.03747076949508834,0.02900830215244356,0.012713448962844584,0.02134292203328588,0.15416666666666665,0.5742734021479987,1.1107843137254902,27.731372549019607,0.7396975928693946
1,10,0.0,0.0319868988313205,0.02275350601318849,0.00997216368970018,0.018779229657549162,0.10833333333333332,0.6878507930514371,4.568627450980393,23.69607843137255,0.43307258018844974
1,10,0.03,0.030485261687079084,0.028116584267717456,0.012322636368672608,0.017995231371717327,0.1,0.6850094731859258,4.196428571428571,23.464285714285715,0.4175372034408449
1,10,0.01,0.02828942832123025,0.019723127702848234,0.008644041837405674,0.016607105254943577,0.09583333333333333,0.6887620438783554,4.46078431372549,23.46078431372549,0.4393805278979327
9,1,0.0,0.014147517326706138,0.018911646961629485,0.00828839472184545,0.00813914326943257,0.05416666666666666,0.7507306896628637,2.8333333333333335,19.148148148148145,0.268773123664537
9,1,0.01,0.013583596935384168,0.01723456716444375,0.007553382093526476,0.007864893600533936,0.05,0.6389945608830191,2.1666666666666665,26.27777777777778,0.4330189048018785
5,1,0.03,0.0019245283018867923,0.006226378314651016,0.0027288306123772876,0.0010425909494232474,0.0125,0.5435213414634146,2.5,35.75,0.9202957464357253
5,1,0.01,0.0006493506493506494,0.0029039843863633637,0.0012727272727272726,0.00035211267605633805,0.004166666666666667,0.5,4.0,40.0,0.8
1,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,1,0.01,0.0,0.0,0.0,0.0,0.0,,,,
1,1,0.03,0.0,0.0,0.0,0.0,0.0,,,,
1,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,3,0.01,0.0,0.0,0.0,0.0,0.0,,,,
1,3,0.03,0.0,0.0,0.0,0.0,0.0,,,,
1,5,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,5,0.01,0.0,0.0,0.0,0.0,0.0,,,,
1,5,0.03,0.0,0.0,0.0,0.0,0.0,,,,
5,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,
