position,nearest_coarse_peak,matched,r_lag,cardiac_phase,breath_phase
547,0,True,56.0,0.4745762711864407,0.0
1073,0,True,10.0,0.08264462809917356,0.0
1623,0,True,8.0,0.06666666666666667,0.0
2099,0,True,117.0,0.975,0.0
2587,0,True,53.0,0.4380165289256198,0.0
3111,0,True,61.0,0.9242424242424242,0.0
3633,0,True,21.0,0.2692307692307692,0.0
4111,0,True,19.0,0.15447154471544716,0.0
4613,0,True,84.0,0.8076923076923077,0.0
5130,0,True,83.0,0.8137254901960784,0.0
5711,0,True,48.0,0.47058823529411764,0.0
6239,0,True,73.0,0.7087378640776699,0.0
6739,0,True,56.0,0.5490196078431373,0.0
7337,0,True,35.0,0.3465346534653465,0.0
7869,0,True,56.0,0.5544554455445545,0.0
8361,0,True,36.0,0.36,0.0
8821,0,True,89.0,0.8725490196078431,0.0
9287,0,True,46.0,0.45544554455445546,0.0
9763,0,True,16.0,0.16,0.0
10241,0,True,91.0,0.91,0.0
10823,0,True,65.0,0.6565656565656566,0.0
11319,0,True,57.0,0.5643564356435643,0.0
11789,0,True,20.0,0.19801980198019803,0.0
12253,0,True,80.0,0.8,0.0
12847,0,True,73.0,0.7448979591836735,0.0
13389,0,True,17.0,0.1717171717171717,0.0
13929,0,True,55.0,0.5555555555555556,0.0
14433,0,True,57.0,0.57,0.0
14967,0,True,86.0,0.86,0.0
15477,0,True,92.0,0.9108910891089109,0.0
15977,0,True,88.0,0.8712871287128713,0.0
16463,0,True,68.0,0.68,0.0
16940,0,True,39.0,0.38613861386138615,0.0
17487,0,True,75.0,0.7352941176470589,0.0
18016,0,True,94.0,0.9306930693069307,0.0
18553,0,True,22.0,0.22,0.0
19087,0,True,70.0,0.7,0.0
19631,0,True,13.0,0.13,0.0
20115,0,True,92.0,0.9108910891089109,0.0
20635,0,True,31.0,0.30097087378640774,0.0
21151,0,True,39.0,0.3939393939393939,0.0
21629,0,True,17.0,0.17,0.0
22135,0,True,15.0,0.14563106796116504,0.0
22693,0,True,57.0,0.5588235294117647,0.0
23233,0,True,83.0,0.8137254901960784,0.0
23709,0,True,46.0,0.45098039215686275,0.0
24219,0,True,45.0,0.4411764705882353,0.0
24739,0,True,58.0,0.58,0.0
25263,0,True,73.0,0.7156862745098039,0.0
25755,0,True,59.0,0.5841584158415841,0.0
26271,0,True,70.0,0.7,0.0
26805,0,True,5.0,0.05,0.0
27343,0,True,45.0,0.45454545454545453,0.0
27871,0,True,73.0,0.73,0.0
28369,0,True,70.0,0.7070707070707071,0.0
28873,0,True,74.0,0.7474747474747475,0.0
29367,0,True,68.0,0.6938775510204082,0.0
29871,0,True,73.0,0.73,0.0
30345,0,True,50.0,0.5102040816326531,0.0
30859,0,True,80.0,0.8,0.0
31395,0,True,33.0,0.33,0.0
31929,0,True,65.0,0.6435643564356436,0.0
32435,0,True,65.0,0.65,0.0
32959,0,True,20.0,0.1724137931034483,0.0
33525,0,True,71.0,0.7171717171717171,0.0
34005,0,True,52.0,0.5252525252525253,0.0
34519,0,True,78.0,0.7722772277227723,0.0
35029,0,True,82.0,0.803921568627451,0.0
35553,0,True,19.0,0.2835820895522388,0.0
36093,0,True,2.0,0.01694915254237288,0.0
36653,0,True,37.0,0.37373737373737376,0.0
37171,0,True,61.0,0.5980392156862745,0.0
37673,0,True,53.0,0.5247524752475248,0.0
38199,0,True,75.0,0.75,0.0
38725,0,True,0.0,0.0,0.0
39253,0,True,29.0,0.29292929292929293,0.0
39771,0,True,69.0,0.6764705882352942,0.0
40259,0,True,63.0,0.5478260869565217,0.0
40721,0,True,16.0,0.1391304347826087,0.0
41181,0,True,49.0,0.48514851485148514,0.0
41677,0,True,41.0,0.41,0.0
42181,0,True,65.0,0.625,0.0
42737,0,True,2.0,0.0196078431372549,0.0
43161,0,True,16.0,0.24615384615384617,0.0
43633,0,True,100.0,0.9803921568627451,0.0
44135,0,True,92.0,0.9108910891089109,0.0
44515,0,True,70.0,0.9722222222222222,0.0
45021,0,True,90.0,0.9090909090909091,0.0
45501,0,True,72.0,0.7272727272727273,0.0
45959,0,True,39.0,0.4936708860759494,0.0
46463,0,True,54.0,0.5567010309278351,0.0
47035,0,True,47.0,0.4895833333333333,0.0
47627,0,True,60.0,0.6185567010309279,0.0
48277,0,True,30.0,0.3125,0.0
48927,0,True,35.0,0.29914529914529914,0.0
49543,112,False,50.0,0.5102040816326531,0.8461538461538461
49655,0,True,64.0,0.6530612244897959,0.0
50329,0,True,54.0,0.5454545454545454,0.0
50945,0,True,75.0,0.7575757575757576,0.0
51579,0,True,12.0,0.12371134020618557,0.0
52147,0,True,83.0,0.8469387755102041,0.0
52733,0,True,111.0,0.9823008849557522,0.0
53301,0,True,67.0,0.6767676767676768,0.0
53891,0,True,13.0,0.11016949152542373,0.0
54431,0,True,39.0,0.3939393939393939,0.0
55037,0,True,45.0,0.45918367346938777,0.0
55653,0,True,71.0,0.6761904761904762,0.0
56233,0,True,34.0,0.4722222222222222,0.0
56759,0,True,54.0,0.5294117647058824,0.0
57363,0,True,45.0,0.44554455445544555,0.0
57889,0,True,61.0,0.6039603960396039,0.0
58401,0,True,66.0,0.6534653465346535,0.0
58943,0,True,99.0,0.9801980198019802,0.0
59471,0,True,31.0,0.30097087378640774,
