position,nearest_coarse_peak,matched,r_lag,cardiac_phase,breath_phase
325,0,True,22.0,0.205607476635514,0.0
553,0,True,9.0,0.10227272727272728,0.0
805,0,True,4.0,0.047619047619047616,0.0
1035,0,True,66.0,0.7951807228915663,0.0
1513,0,True,40.0,0.47058823529411764,0.0
1793,0,True,66.0,0.7857142857142857,0.0
2476,0,True,82.0,0.8367346938775511,0.0
2889,0,True,5.0,0.060240963855421686,0.0
3385,0,True,7.0,0.08333333333333333,0.0
3635,0,True,90.0,0.8490566037735849,0.0
3883,0,True,9.0,0.10714285714285714,0.0
4456,0,True,2.0,0.023809523809523808,0.0
4841,0,True,30.0,0.22388059701492538,0.0
5421,0,True,30.0,0.2222222222222222,0.0
5747,0,True,48.0,0.5714285714285714,0.0
6044,0,True,70.0,0.5185185185185185,0.0
6150,106,False,41.0,0.4659090909090909,0.28418230563002683
6417,0,True,49.0,0.5764705882352941,0.0
6585,0,True,47.0,0.5595238095238095,0.0
6909,0,True,33.0,0.1952662721893491,0.0
7279,0,True,62.0,0.7294117647058823,0.0
7685,0,True,56.0,0.6292134831460674,0.0
7913,228,False,20.0,0.25,0.32571428571428573
8385,0,True,74.0,0.8809523809523809,0.0
8656,0,True,19.0,0.21839080459770116,0.0
8833,0,True,24.0,0.27906976744186046,0.0
9021,188,False,42.0,0.5,0.4177777777777778
9283,0,True,47.0,0.5875,0.0
9689,0,True,46.0,0.5227272727272727,0.0
10247,0,True,8.0,0.09411764705882353,0.0
10755,0,True,20.0,0.22988505747126436,0.0
11001,0,True,9.0,0.10714285714285714,0.0
11343,0,True,12.0,0.14285714285714285,0.0
11509,0,True,9.0,0.10714285714285714,0.0
11797,0,True,44.0,0.5176470588235295,0.0
12255,0,True,0.0,0.0,0.0
12773,0,True,9.0,0.10714285714285714,0.0
13153,0,True,50.0,0.5952380952380952,0.0
13509,0,True,77.0,0.8850574712643678,0.0
13874,0,True,15.0,0.17647058823529413,0.0
14261,0,True,125.0,0.9057971014492754,0.0
14699,0,True,83.0,0.9764705882352941,0.0
15097,0,True,59.0,0.7023809523809523,0.0
15593,0,True,49.0,0.44545454545454544,0.0
15817,0,True,29.0,0.32954545454545453,0.0
16139,0,True,9.0,0.08333333333333333,0.0
16309,0,True,71.0,0.5259259259259259,0.0
16553,0,True,7.0,0.08333333333333333,0.0
16723,0,True,9.0,0.08411214953271028,0.0
16961,0,True,6.0,0.06818181818181818,0.0
17200,0,True,73.0,0.8588235294117647,0.0
17649,0,True,18.0,0.21428571428571427,0.0
18143,0,True,10.0,0.12048192771084337,0.0
18353,210,False,73.0,0.7019230769230769,0.3860294117647059
18687,0,True,28.0,0.2074074074074074,0.0
19061,0,True,8.0,0.09411764705882353,0.0
19565,0,True,4.0,0.037037037037037035,0.0
19696,0,True,27.0,0.20149253731343283,0.0
20197,0,True,53.0,0.4953271028037383,0.0
20555,0,True,81.0,0.9642857142857143,0.0
20873,0,True,143.0,0.8719512195121951,0.0
21243,0,True,15.0,0.17857142857142858,0.0
21878,0,True,124.0,0.8920863309352518,0.0
22287,0,True,52.0,0.6190476190476191,0.0
22645,0,True,82.0,0.9425287356321839,0.0
23001,0,True,13.0,0.15476190476190477,0.0
23481,0,True,72.0,0.8571428571428571,0.0
23843,0,True,11.0,0.13095238095238096,0.0
24229,0,True,70.0,0.8045977011494253,0.0
24579,0,True,1.0,0.011627906976744186,0.0
25096,0,True,94.0,0.8785046728971962,0.0
25413,0,True,83.0,0.9764705882352941,0.0
